# Credits to https://github.com/JeffSackmann/tennis_wta
Id,First Name,Last Name,Country
200183,Elena,Subirats,MEX
200184,Helen,Cawley,AUS
200185,Lesley,Hunt,AUS
200186,Yveline,Boy,FRA
200187,Janine,Murdoch,AUS
200188,Helen,Amos,AUS
200189,D,Brennan,AUS
200190,Billie Jean,King,USA
200191,Frances,Luff,AUS
200192,Helen,Kayser,AUS
200193,Ann,Jones,GBR
200194,Francoise,Durr,FRA
200195,H,Rush,AUS
200196,Kerryl,Chute,AUS
200197,Pamela,Brand,AUS
200198,Caroline,Langsford,AUS
200199,Sally,Irvine,AUS
200200,Norma,Marsh,AUS
200201,Sharon,Thomson,AUS
200202,Teresa,Van Haren,AUS
200203,Vicki,Lancaster Kerr,AUS
200204,Sandra,Walsham,AUS
200205,Judy,Harris,AUS
200206,L,Cameron,AUS
200207,Cheryl,Norquay,AUS
200208,Mandy,Morgan,AUS
200209,Wendy,Turnbull,AUS
200210,Norma,Eastburn,AUS
200211,Winnie,Wooldridge,GBR
200212,Elizabeth,Allan,AUS
200213,Jan,Oneill,AUS
200214,Christina,Sandberg,SWE
200215,Susan,Alexander,AUS
200216,Janet,Fallis,AUS
200217,Adrienne,Avis,AUS
200218,Helen,Taylor,AUS
200219,Patricia,Coleman,AUS
200220,Patti,Hogan,USA
200221,Dianne,Balestrat,AUS
200222,Anne,Coleman,AUS
200223,Sharon,Walsh Pete,USA
200224,Kati,Athorne,AUS
200225,Helen,Worland,AUS
200226,Mona,Guerrant,USA
200227,Diane,James,AUS
200228,Olga,Morozova,URS
200229,Robyn,Knobel,AUS
200230,Patricia,Billing,AUS
200231,Brenda,Dart,AUS
200232,Ann,Lebedeff,USA
200233,Christine,Dorey,AUS
200234,Pam,Whytcross,AUS
200235,Maureen,Pratt,AUS
200236,Patricia,King,AUS
200237,Virginia,Wade,GBR
200238,Nathalie,Fuchs,FRA
200239,Kathy,Walker,AUS
200240,Eugenia,Birioukova,AZE
200241,Duk Hee,Lee,KOR
200242,Helen,Young,AUS
200243,Glynis,Coles,GBR
200244,Moira,Whitely,AUS
200245,Soon Oh,Lee,KOR
200246,Leslie,Walker,AUS
200247,Dorte,Ekner,DEN
200248,Marion,Proisy,FRA
200249,Joan,Walker,ZIM
200250,Lindsay,Blachford,GBR
200251,Kazuko,Sawamatsu,JPN
200252,Monique,Van Haver,BEL
200253,Kiyoko,Nomura,JPN
200254,Michele,Gurdal,BEL
200255,Lesley,Charles,GBR
200256,Chris,Oneil,AUS
200257,Helen,Crozier,AUS
200258,Jeong Soon,Yang,KOR
200259,Chris,Evert,USA
200260,Katerleen,Szeman,HUN
200261,Toshiko,Sade,JPN
200262,Jenny,Walker,AUS
200263,Janet,Wright,USA
200264,Helena,Anliot,SWE
200265,Lindsey,Beaven,GBR
200266,Sue,Barker,GBR
200267,Isabelle,Larsson,SWE
200268,Frances,Candy,AUS
200269,Jill,Schwikert,USA
200270,Nellemieke,Brouwer,NED
200271,Margareta,Forsgardh,SWE
200272,Brenda,Dale,AUS
200273,Nerida,Gregory,AUS
200274,Julie,Heldman,USA
200275,Ann,Kiyomura Hayashi,USA
200276,Jd,Griffiths,AUS
200277,Anneloes,Schothurst,NED
200278,Sally,Arnott,AUS
200279,Gail,Williams,AUS
200280,Joy,Schwikert,USA
200281,Jackie,Fayter,GBR
200282,Jenny,Dimond,AUS
200283,Pam,Teeguarden,USA
200284,Nora,Lauteslager,NED
200285,Mimi,Wikstedt,SWE
200286,Peggy,Michel,USA
200287,Miki,Yokobori,JPN
200288,Sue,Mappin,GBR
200289,Chris,Cerato,AUS
200290,Deborah,Fiuza,POR
200291,Diane,Evers,AUS
200292,Vivicca,Andersson,SWE
200293,Martina,Navratilova,USA
200294,Gwen,Stirton,AUS
200295,Ai,Iida,JPN
200296,Belinda,Thompson,GBR
200297,Natasha,Chmyreva,URS
200298,Laura,Du Pont,USA
200299,Kaye,Hallam,AUS
200300,Sally,Greer,USA
200301,Lois,Raymond,AUS
200302,Linda,Mottram,GBR
200303,Julie,Staines,AUS
200304,Cheree,Walker,NZL
200305,Carol,Draper,AUS
200306,Jan,Wilton,AUS
200307,Kerry,Neill,AUS
200308,Kym,Ruddell,AUS
200309,Merrilyn,Robinson,AUS
200310,Julie,Hanrahan,AUS
200311,Cecilia,Martinez,USA
200312,Frederique,Thibault,FRA
200313,Lotta,Stenberg,SWE
200314,Brigitte,Simon Glinel,FRA
200315,Nina,Bohm,SWE
200316,Heidi,Eisterlehner,GER
200317,Helga,Masthoff,FRG
200318,Michelle,Tyler,GBR
200319,Cathy,Griffiths,AUS
200320,Renata,Tomanova,GER
200321,Elisabeth,Ekblom,SWE
200322,Karen,Gulley,AUS
200323,Rene,Blount,USA
200324,Beth,Norton,USA
200325,Leanne,Harrison Austin,AUS
200326,Naoko,Sato,JPN
200327,Birgitte,Hermansen,DEN
200328,Patricia,Bostrom,USA
200329,Mary,Sawyer,AUS
200330,Sue,Saliba,AUS
200331,Kim,Sands,USA
200332,Amanda,Tobin Dingwall,AUS
200333,Betsy,Nagelsen,USA
200334,Sabina,Simmonds,ITA
200335,Judy,Chaloner,NZL
200336,Keryn,Pratt,AUS
200337,Virginia,Ruzici,ROU
200338,Elizabeth,Little,AUS
200339,Linda,Cassell,AUS
200340,Marcella,Mesker,NED
200341,Jutta,Diesslin,FRG
200342,Chris,Newton,NZL
200343,Susan,Leo,AUS
200344,Barbara,Jordan,USA
200345,Brenda,Catton,AUS
200346,Anne,Minter,AUS
200347,Bernadette,Randall,AUS
200348,Hana,Mandlikova,AUS
200349,Dianne,Morrison,USA
200350,Felicia,Hutnick,USA
200351,Lindsay,Morse,USA
200352,Greer,Stevens,RSA
200353,Lele,Forood,USA
200354,Claudia,Kohde Kilsch,GER
200355,Diane,Desfor,USA
200356,Betty,Stove,NED
200357,Rosalyn,Nideffer,USA
200358,Marcie,Harper,USA
